티커,시가,고가,저가,종가,거래량,거래대금,등락률
005930,56100,57400,55700,57100,17807126,1012586831300,1.6
005935,51900,52500,51500,52000,948486,49319606500,0.97
001360,3120,3200,3075,3110,181755,568129605,-0.32
010140,5980,5980,5630,5730,6329681,36343431410,-3.7
010145,233000,233000,227000,227500,553,126262500,-1.09
016360,33750,34100,33400,33900,246946,8343979200,0.74
068290,23500,24000,22600,23000,39063,905607300,-2.95
029780,30650,31000,30300,30800,79687,2444090550,-0.16
000810,200500,202500,198000,201500,90107,18074670500,-0.49
000815,157000,157000,154000,156500,4726,735911000,-0.32
006110,17800,17800,15900,16450,51532,852023800,-1.79
009300,14000,14100,13400,13600,18623,254796650,-2.86
145990,40400,40500,39750,40050,14976,600183500,-0.74
145995,32450,32450,32000,32000,51,1640650,-1.39
003230,105000,107500,102500,104000,85279,8965947000,0.0
225190,12050,12300,11700,11950,59131,708612850,-0.83
002170,52100,52600,51700,52600,2749,144059800,0.57
272550,16550,16700,16450,16450,6224,103054850,-1.5
000070,70900,71200,69900,71200,8654,609773000,1.28
000075,57800,57800,56700,57800,126,7203700,0.52
002810,13300,13400,13200,13400,5987,79777900,0.37
361670,6650,6690,6340,6440,11767,76270390,-4.02
