시가,고가,저가,종가,거래량,거래대금,등락률
6450,6740,6450,6710,186973,1241591890,4.35
12350,13000,12300,12700,138448,1761617500,4.96
7510,7790,7510,7790,27863,214587660,1.96
11900,12050,11600,11800,462589,5460661650,0.43
37200,38600,37200,38500,81938,3133548950,3.49
5270,5440,5220,5420,231185,1232921200,2.85
1680,1720,1675,1710,143321,243804750,0.59
104000,104500,101000,102000,68348,6996475000,-1.45
66900,67200,65500,67100,44832,2987518300,1.21
25900,26400,25850,26300,10295,268686550,1.94
116500,119500,116500,119500,7836,922450500,1.27
37450,37700,36600,37050,135764,5030674900,-0.8
47100,49000,47100,48500,6092,294718050,3.41
171000,171500,161500,167000,87045,14323532500,-1.76
71400,71600,69800,70600,1992,140095400,-0.98
183500,185500,181500,184000,54578,10014195500,1.38
0,0,0,311000,0,0,0.0
16250,16650,16250,16650,23026,377782750,3.1
1500,1555,1500,1550,379513,583142480,2.99
4870,4925,4870,4925,28383,139090925,1.13
47350,47950,45300,46850,229757,10675018850,0.21
21500,22750,21500,22300,2646,58188600,4.45
12200,12350,12150,12350,828380,10186645200,1.65
4525,4550,4500,4550,35994,162998815,0.44
26400,27100,25850,27050,97143,2573311400,4.44
4645,4740,4610,4710,1026882,4822928620,2.95
34500,35000,34100,34750,102354,3550138600,2.06
850,871,811,827,2821355,2355095822,-3.84
3075,3200,3015,3155,73490,231340400,2.6
16050,16450,16000,16300,202322,3285153150,2.19
3075,3220,3075,3215,117774,375133360,5.58
3135,3335,3135,3300,82896,271129560,4.6
4750,4750,4555,4655,2147,10107365,-0.75
8200,8630,8200,8530,24726,209938570,4.66
3780,4155,3780,3965,347470,1358628445,4.89
2460,2605,2460,2545,494448,1252928775,3.46
6340,6550,6340,6540,38207,247070380,3.15
3345,3675,3345,3590,303316,1070512445,7.65
9430,9750,9430,9730,29038,279971040,2.75
296,310,296,309,681853,208333555,3.69
4660,4735,4635,4715,81619,381152925,0.96
4255,4290,4215,4290,58017,245725440,0.7
3095,3140,3090,3135,20045,62450415,1.29
6890,6930,6720,6790,832791,5658927410,-0.59
3775,3800,3770,3800,117760,445287450,0.66
4280,4375,4280,4320,42302,181818780,0.93
179500,179500,176500,178500,1444,257847000,-0.28
